author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/168996,Archival Material,,,2021,,"Student Narratives, circa 2009",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169117,Archival Material,,,2021,,"United Asian American Organization, 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"Temeche, Eleni",https://hdl.handle.net/2027.42/168123,Thesis,Engineering,,2021,en_US,Solid Electrolytes Derived From Precursors and Liquid-Feed Flame Spray Pyrolysis Nano-Powders to Enable the Assembly of All-Solid-State-Batteries,Dissertations and Theses (Ph.D. and Master's),
"Popma, Jacqueline",https://hdl.handle.net/2027.42/168062,Thesis,Science,,2021,en_US,"Deer Browsing Effects on Temperate Forest Biogeochemistry, Plant Community Composition, and Plant Chemistry",Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168846,Archival Material,,,2021,,Facilities (Space),"College of Literature, Science and the Arts records and publications",
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168617,Archival Material,,,2021,,Supporting documents,University Human Resources (University of Michigan) records and publications,
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168667,Archival Material,,,2021,,2016-2017,University Human Resources (University of Michigan) records and publications,
University of Michigan. Michigan Medicine. Volunteer Services.,https://hdl.handle.net/2027.42/167272,Archival Material,,,2021,,Disc 1 of 2,Michigan Medicine (University of Michigan) publications,
University of Michigan. Center for the History of Medicine.,https://hdl.handle.net/2027.42/167320,Archival Material,,,2021,,Disc 2 of 2,Center for the History of Medicine (University of Michigan) Oral History Interviews,
"Ofuegbe, James Kayode",https://hdl.handle.net/2027.42/168107,Thesis,Engineering,,2021,en_US,Relation at the Fluid-Structure Interface and Residuary Force in Flow Induced Oscillations with Experimental Validation (VIV & Galloping),Dissertations and Theses (Ph.D. and Master's),
"Farzaneh, Negar",https://hdl.handle.net/2027.42/168065,Thesis,Health Sciences,,2021,en_US,Automated Decision Support System for Traumatic Injuries,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168788,Archival Material,,,2021,,Undergraduate Dean's Group,"College of Literature, Science and the Arts records and publications",
University of Michigan. Henry Russel Lectureship Committee.,https://hdl.handle.net/2027.42/167176,Archival Material,,,2021,,"Rowena Matthews, March 11, 2003",Henry Russel Lectureship Committee (University of Michigan) records,
University of Michigan. Detroit Observatory.,https://hdl.handle.net/2027.42/167165,Archival Material,,,2021,,Disk 2 of 4,Dance Gallery Foundation records,
"Lee, Suhak",https://hdl.handle.net/2027.42/168114,Thesis,Engineering,,2021,en_US,Electrode-Specific Degradation Diagnostics for Lithium-Ion Batteries with Practical Considerations,Dissertations and Theses (Ph.D. and Master's),
"Sediek, Omar Ashraf",https://hdl.handle.net/2027.42/167910,Thesis,Engineering,,2021,en_US,Multiscale Simulation and Assessment of the Seismic Resilience of Communities,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. School of Music, Theatre & Dance.",https://hdl.handle.net/2027.42/167632,Archival Material,,,2021,,"U-M Organ Conference - Mobile Carillon, 2017","School of Music, Theatre and Dance (University of Michigan) Records and Publications",
"Kausch, Jack.",https://hdl.handle.net/2027.42/167570,Archival Material,,,2021,,"Disc 3 of 13, May 2002",Jack Kausch collection,
University of Michigan. Center for the History of Medicine.,https://hdl.handle.net/2027.42/167327,Archival Material,,,2021,,Disc 1 of 2,Center for the History of Medicine (University of Michigan) Oral History Interviews,
"Kausch, Jack.",https://hdl.handle.net/2027.42/167566,Archival Material,,,2021,,"Letters, Biography, and List of Churches, October 26, 1999",Jack Kausch collection,
"Lee, Haeun",https://hdl.handle.net/2027.42/168143,Thesis,Health Sciences,,2021,en_US,Understanding the Association of Savings and Internal Lending Communities (SILCs) Participation and Household Wealth and Access of Reproductive Health Services (RHSs) in Rural Zambia,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168787,Archival Material,,,2021,,Undergraduate Associate Dean,"College of Literature, Science and the Arts records and publications",
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/168936,Archival Material,,,2021,,"Education Day Publicity, 2008",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"Kausch, Jack.",https://hdl.handle.net/2027.42/167576,Archival Material,,,2021,,"Disc 11 of 13, May 2002",Jack Kausch collection,
"Ochoa, Cosme",https://hdl.handle.net/2027.42/168060,Thesis,Engineering,,2021,en_US,Metalevel Motion Planning for Unmanned Aircraft Systems: Metrics Definition and Algorithm Selection,Dissertations and Theses (Ph.D. and Master's),
National Association for the Advancement of Colored People. University of Michigan College Chapter.,https://hdl.handle.net/2027.42/166085,Archival Material,,,2021,,circa 2016-2018,National Association for the Advancement of Colored People University of Michigan College Chapter records,
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168636,Archival Material,,,2021,,Tenure track casebook,University Human Resources (University of Michigan) records and publications,
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168209,Archival Material,,,2021,,2007,"College of Literature, Science and the Arts records and publications",
"Sabo, Emily",https://hdl.handle.net/2027.42/168117,Thesis,Humanities,,2021,en_US,"Social Factors in the Production, Perception and Processing of Contact Varieties: Evidence from Bilingual Corpora, Nativeness Evaluations, and Real-time Processing (EEG) of Spanish-accented English",Dissertations and Theses (Ph.D. and Master's),
"Lee, Young Eun",https://hdl.handle.net/2027.42/167926,Thesis,Social Sciences,,2021,en_US,The Development of Responses to Unfairness in Children,Dissertations and Theses (Ph.D. and Master's),
"Huerta Bravo, Ignacio Jose",https://hdl.handle.net/2027.42/167999,Thesis,Humanities,,2021,en_US,"Fascism, Populism and Common Sense in Spain: La Gaceta Literaria, La Conquista del Estado, F.E. y Vertice (1927-1939)",Dissertations and Theses (Ph.D. and Master's),
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169121,Archival Material,,,2021,,"Zeta Phi Beta, 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Michigan Medicine. Volunteer Services.,https://hdl.handle.net/2027.42/167277,Archival Material,,,2021,,Disc 1 of 2,Michigan Medicine (University of Michigan) publications,
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168599,Archival Material,,,2021,,Clinical track casebooks,University Human Resources (University of Michigan) records and publications,
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168917,Archival Material,,,2021,,Mellon Foundation,"College of Literature, Science and the Arts records and publications",
