author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
"Wang, Grace",https://hdl.handle.net/2027.42/167735,Project,Business and Economics,Ann Arbor,2021-04-01,en_US,China’s Semiconductor Industrial Policy and  Income A Case Study at the Provincial Level,"Business, Stephen M. Ross School of - Senior Thesis Written Reports",No
"Van Note, Sean",https://hdl.handle.net/2027.42/167656,Project,Other,Other,2021-04-01,Other,Compression Device for 3D Spheroids in Microgravity,"Mechanical Engineering, Department of",No
"Daniel, Nicholas",https://hdl.handle.net/2027.42/167892,Thesis,Other,Ann Arbor,2021-04-01,Other,Leapfrogging Development: Analyzing the Trends of Urbanization in Sub-Saharan Africa: Westernization Versus the Informal Economy,Honors Theses (Bachelor's),No
"Bledsoe, Isabella",https://hdl.handle.net/2027.42/167214,Project,Other,Other,2021-04-01,en_US,Bridging the Implementation Gap: Designing a Course of Action with Michigan Public Advisory Councils,Dissertations and Theses (Ph.D. and Master's),No
"Gabriel, Marissa",https://hdl.handle.net/2027.42/167644,Project,Other,Other,2021-04-01,Other,Squid Speed,"Mechanical Engineering, Department of",No
"Liao, Zitong",https://hdl.handle.net/2027.42/167196,Thesis,Other,Other,2021-04-01,en_US,V2G-capable shared autonomous electric vehicles fleet: Economic viability and environmental co-benefits,Dissertations and Theses (Ph.D. and Master's),No
"Lee, Seneca",https://hdl.handle.net/2027.42/167346,Practicum,Other,Other,2021-04-01,en_US,Meso and Macrofauna Responses to Biochar in Urban Soils,Dissertations and Theses (Ph.D. and Master's),No
"Fysudeen, Fareah",https://hdl.handle.net/2027.42/167884,Thesis,Other,Ann Arbor,2021-04-01,Other,Modernity and the (Im)Possibility of Transcendence: A Cognitive Map for Liberation: From Nietzsche and Modern Binaries to Ghazalian Noetics,Honors Theses (Bachelor's),No
"Su, Chenyang",https://hdl.handle.net/2027.42/167259,Thesis,Other,Other,2021-04-01,en_US,"Factors Impacting American Leaf Spot Disease Incidence and Intensity in a Shaded Coffee Farm in Chiapas, Mexico",Dissertations and Theses (Ph.D. and Master's),No
"Nelles, Drew",https://hdl.handle.net/2027.42/167696,Thesis,Other,Other,2021-04-01,Other,Triangulation: Stories,Dissertations and Theses (Ph.D. and Master's),No
"Armbruster, Sarah",https://hdl.handle.net/2027.42/167643,Project,Other,Other,2021-04-01,Other,Shark Attach,"Mechanical Engineering, Department of",No
"Martinez, Leandro",https://hdl.handle.net/2027.42/167649,Project,Other,Other,2021-04-01,Other,Sensor.IO,"Mechanical Engineering, Department of",No
"Wamser, Matthew",https://hdl.handle.net/2027.42/167716,Thesis,Other,Other,2021-04-01,Other,The Little Ice Age,Dissertations and Theses (Ph.D. and Master's),No
"Garcia, Helena",https://hdl.handle.net/2027.42/167296,Project,Other,Other,2021-04-01,en_US,Assessing Equity and Environmental Justice in the Great Lakes Restoration Initiative,Dissertations and Theses (Ph.D. and Master's),No
"Weisman, Rachael",https://hdl.handle.net/2027.42/167653,Project,Other,Other,2021-04-01,Other,An at Home Cardiorespiratory Monitor  in Low Income Countries,"Mechanical Engineering, Department of",No
"Dierdorf, Joseph",https://hdl.handle.net/2027.42/167381,Project,Other,Other,2021-04-01,en_US,Implementing Natural Infrastructure in the Upper Mississippi River Basin: Lessons from Iowa,Dissertations and Theses (Ph.D. and Master's),No
"Dhamankar, Prachiti",https://hdl.handle.net/2027.42/167178,Project,Other,Other,2021-04-01,en_US,"Scope 3 Emissions Inventory and Supplier Engagement for Steelcase, Inc.",Dissertations and Theses (Ph.D. and Master's),No
"Marano, Ellary",https://hdl.handle.net/2027.42/167343,Thesis,Other,Other,2021-04-01,en_US,Evidence for the Importance of Invasive Dreissena veligers as a Novel Prey Item for Larval Fish,Dissertations and Theses (Ph.D. and Master's),No
"Essa, Elena",https://hdl.handle.net/2027.42/167290,Thesis,Other,Other,2021-04-01,en_US,The Impact of Renewable Energy versus Fossil Fuel Energy on Human Development,Dissertations and Theses (Ph.D. and Master's),No
"Appledorn, Michele",https://hdl.handle.net/2027.42/167639,Project,Other,Other,2021-04-01,Other,Carbon Neutral luxury Dog House,"Mechanical Engineering, Department of",No
"Wegryn-Jones, Arynne",https://hdl.handle.net/2027.42/167877,Thesis,Other,Ann Arbor,2021-04-01,Other,The Culture of Composting in U-M Residence Halls,Honors Theses (Bachelor's),No
"Li, Jessie",https://hdl.handle.net/2027.42/167737,Thesis,Business and Economics,Ann Arbor,2021-04-01,en_US,An Ethical Evaluation of Corporate Lobbying Practices:  A Case Study on Facebook Inc’s Lobbying Strategies,"Business, Stephen M. Ross School of - Senior Thesis Written Reports",No
"Nee, Michelle",https://hdl.handle.net/2027.42/167740,Thesis,Business and Economics,Ann Arbor,2021-04-01,en_US,Does Effectiveness Matter? Measuring Consumer Value for Corporate Social  Responsibility,"Business, Stephen M. Ross School of - Senior Thesis Written Reports",No
"Shifrin, Jonah",https://hdl.handle.net/2027.42/167638,Project,Other,Other,2021-04-01,Other,E-Bike Engagement and Accessibility,"Mechanical Engineering, Department of",No
"Fields, Tess",https://hdl.handle.net/2027.42/167369,Project,Other,Other,2021-04-01,en_US,Transportation Greenhouse Gas Emissions Baseline for the Ann Arbor 2030 District,Dissertations and Theses (Ph.D. and Master's),No
"Chamra, Maya",https://hdl.handle.net/2027.42/167879,Thesis,Other,Ann Arbor,2021-04-01,Other,Sexual Violence on College Campuses: The Effects of State Sexual Violence Laws on University Reporting Rates,Honors Theses (Bachelor's),No
"Nagappan, Karthik Valliappan",https://hdl.handle.net/2027.42/167738,Thesis,Business and Economics,Ann Arbor,2021-04-01,en_US,Assessing the Effect of Racial Bias on Approval  of Health Care Reform Proposals: A Survey of  Attitudes toward Politicians and their Policies,"Business, Stephen M. Ross School of - Senior Thesis Written Reports",No
"Pattipati, Marie Aiudi",https://hdl.handle.net/2027.42/169407,Thesis,Other,Ann Arbor,2021-04-01,Other,Narrative Subversion of Acknowledgement and Denial within ex-Nazi Memoirs,Honors Theses (Bachelor's),No
